time:1444075058124 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075058224 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075058323 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075058424 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075058524 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075058624 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075058723 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075058823 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075058924 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075059024 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075059123 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075059224 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075059324 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075059423 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075059523 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075059624 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
time:1444075059724 0joules:0.000000 1joules:0.000000 0limwatts:80.000000 1limwatts:80.000000 instr0:0 instr1:0 core0:0 core1:0
